  ;Poids-kg;Diam-m;Def-m;Fmax-N;Fermeté/dép;Travail;p.c.perte;Pression;L surimp;a surimp;b surimp;L fond;a fond;b fond;Ethylène (nmole/h.kg;Log(éthyl);IR (°Brix);AT (meq/100gMF);glucose (g/100gMF);fructose (g/100gMF);saccharose (g/100gMF;citrate (meq/100gMF);malate (meq/100gMF)
mo1p36                                   ;0.0699 ;0.047325 ;0.0014125 ;26.09 ;18474 ;18.43 ;0.69 ;252.28 ;65.55 ;1.89 ;39.54 ;73.43 ;-6.29 ;36.64 ;5.5 ;1.7 ;11.5 ;27.6 ;1.73 ;0.79 ;3.65 ;28.04 ;6.62
mo1p37                                   ;0.0664 ;0.04775 ;0.001425 ;46.22 ;32438 ;32.94 ;0.55 ;439.03 ;64.04 ;-7.78 ;35.48 ;68.58 ;-9.2 ;35.98 ;3.681 ;1.3 ;10.3 ;29.61 ;1.95 ;0.68 ;1.67 ;30.36 ;5.61
mo1p38                                   ;0.0608 ;0.046012 ;0.0013625 ;39.3 ;28843 ;26.77 ;0.54 ;405.07 ;62.39 ;-1.72 ;36.98 ;71.22 ;-9.05 ;36.03 ;4.913 ;1.59 ;9.9 ;27.88 ;2.12 ;0.81 ;1.17 ;29.27 ;5.96
mo1p39                                   ;0.0627 ;0.045475 ;0.00135 ;29.46 ;21822 ;19.89 ;0.52 ;310.09 ;68.47 ;-2.38 ;36.11 ;72.6 ;-7.6 ;39.71 ;6.665 ;1.9 ;11.4 ;31.47 ;2.14 ;0.84 ;2.55 ;31.36 ;6.9
mo1p40                                   ;0.0576 ;0.044762 ;0.001325 ;27.37 ;20657 ;18.13 ;0.53 ;298.19 ;64.66 ;-0.12 ;37.46 ;72.91 ;-6.68 ;37.86 ;6.588 ;1.89 ;12.3 ;27.76 ;1.78 ;0.69 ;2.44 ;28.7 ;6.63
go3p01                                   ;0.0594 ;0.041737 ;0.0012375 ;5.06 ;4090.5 ;3.13 ;1.29 ;63.33 ;52.56 ;30.88 ;43.77 ;59.52 ;25.97 ;54.71 ;116.38 ;4.76 ;11.6 ;25.97 ;1.68 ;0.78 ;5.28 ;20.35 ;8.52
go3p02                                   ;0.0555 ;0.0418 ;0.0012375 ;5.98 ;4835.6 ;3.7 ;1.41 ;74.75 ;53.14 ;31.25 ;42.4 ;60.42 ;25.59 ;49.66 ;60.705 ;4.11 ;11.3 ;25.09 ;1.65 ;0.75 ;5.09 ;19.95 ;9.87
go3p03                                   ;0.0559 ;0.043112 ;0.001275 ;7.88 ;6178.4 ;5.02 ;1.28 ;92.6 ;50.71 ;33.61 ;37.6 ;62.38 ;24.76 ;54.72 ;45.692 ;3.82 ;11.6 ;25.93 ;1.87 ;0.9 ;5.26 ;19.11 ;9.84
go3p04                                   ;0.0578 ;0.043138 ;0.0012875 ;5.99 ;4655.5 ;3.86 ;1.27 ;69.75 ;48.75 ;37.01 ;34.07 ;57.84 ;27.2 ;50.86 ;212.01 ;5.36 ;12.1 ;25.6 ;1.9 ;0.93 ;6.09 ;17.62 ;10.02
go3p05                                   ;0.0565 ;0.043338 ;0.0012875 ;8.65 ;6720.3 ;5.57 ;1.18 ;100.21 ;54.21 ;32.26 ;46.59 ;61.32 ;24.18 ;54.64 ;48.792 ;3.89 ;11.7 ;28.52 ;1.7 ;0.85 ;5.55 ;18.34 ;12.83
go3p06                                   ;0.0461 ;0.039538 ;0.001175 ;3.73 ;3172.6 ;2.19 ;1.33 ;51.85 ;51.85 ;34.6 ;39.92 ;59 ;26.71 ;52.48 ;160.61 ;5.08 ;11.9 ;23.45 ;1.92 ;0.9 ;5.74 ;18.34 ;9.4
go3p07                                   ;0.0429 ;0.037488 ;0.0011125 ;2.37 ;2133.9 ;1.32 ;1.3 ;36.78 ;50.28 ;30.63 ;35.95 ;58.45 ;27.65 ;52.1 ;34.736 ;3.55 ;14 ;24.93 ;2.4 ;1.12 ;5.83 ;19.89 ;9.98
go3p08                                   ;0.0506 ;0.040725 ;0.0012125 ;6.47 ;5339.9 ;3.93 ;1.32 ;84.74 ;49.77 ;36 ;35.89 ;61.61 ;26.77 ;53.11 ;340.68 ;5.83 ;13.1 ;24.41 ;1.95 ;0.92 ;6.69 ;17.17 ;11.04
go3p09                                   ;0.0566 ;0.0433 ;0.0012875 ;10.69 ;8305.2 ;6.88 ;1.01 ;123.95 ;53.39 ;28.5 ;41.03 ;60.64 ;23.5 ;52.25 ;32.892 ;3.49 ;10.5 ;28.52 ;1.5 ;0.75 ;4.59 ;18.3 ;12.94
go3p10                                   ;0.0611 ;0.044375 ;0.0013125 ;6.15 ;4686.4 ;4.04 ;1.41 ;68.24 ;58.8 ;30.52 ;49.65 ;60.49 ;28.09 ;53.48 ;198.19 ;5.29 ;11.7 ;26.26 ;1.64 ;0.82 ;5.78 ;19.08 ;11.16
go3p11                                   ;0.0477 ;0.039425 ;0.001175 ;10.01 ;8515.9 ;5.88 ;1.14 ;139.59 ;50.05 ;25.11 ;34.35 ;59.62 ;20.19 ;53.35 ;19.571 ;2.97 ;10.5 ;28.62 ;1.43 ;0.77 ;4.22 ;14.66 ;10.46
go3p12                                   ;0.0622 ;0.04425 ;0.0013125 ;5.79 ;4409.8 ;3.8 ;1.33 ;64.4 ;48.8 ;34.14 ;37.24 ;56.65 ;25 ;50.14 ;44.677 ;3.8 ;9.5 ;26.78 ;1.35 ;0.58 ;4.14 ;22.67 ;8.96
go3p13                                   ;0.0491 ;0.039738 ;0.001175 ;3.25 ;2763.5 ;1.91 ;1.29 ;44.94 ;54.12 ;29.21 ;47.07 ;56.53 ;25.39 ;51.12 ;44.394 ;3.79 ;10.2 ;29.39 ;1.48 ;0.57 ;4.22 ;23.93 ;9.73
go3p14                                   ;0.0549 ;0.041563 ;0.0012375 ;6.95 ;5612.5 ;4.3 ;1.38 ;87.27 ;50.46 ;36.43 ;41.21 ;60.38 ;25.26 ;51.14 ;38.92 ;3.66 ;10.7 ;26.08 ;1.55 ;0.78 ;4.85 ;17.61 ;11.21
go3p15                                   ;0.0608 ;0.044762 ;0.001325 ;10.72 ;8092.3 ;7.1 ;0.87 ;116.82 ;45.05 ;39.51 ;31.16 ;59.19 ;26.73 ;53.02 ;47.354 ;3.86 ;10.7 ;28.14 ;1.63 ;0.85 ;5.29 ;11.36 ;8.08
go3p17                                   ;0.0567 ;0.043588 ;0.0013 ;8.69 ;6685.9 ;5.65 ;1.23 ;99.13 ;51.2 ;31.87 ;39.1 ;60.58 ;23.41 ;53.62 ;23.314 ;3.15 ;10.3 ;27.95 ;1.67 ;0.72 ;4.51 ;20.3 ;11.04
go3p18                                   ;0.0557 ;0.0421 ;0.00125 ;4.87 ;3892.6 ;3.04 ;1.37 ;59.75 ;51.46 ;34.22 ;38.93 ;60.26 ;26.89 ;52.41 ;141.11 ;4.95 ;11.8 ;25.57 ;1.77 ;0.75 ;5.88 ;18.33 ;9.98
go3p19                                   ;0.0594 ;0.043225 ;0.0012875 ;7.49 ;5813.6 ;4.82 ;1.21 ;86.92 ;58.44 ;27.45 ;49.36 ;60.16 ;25.88 ;53.2 ;113.55 ;4.73 ;11.6 ;27.3 ;1.65 ;0.8 ;5.93 ;17.55 ;12.22
go3p20                                   ;0.0577 ;0.043275 ;0.0012875 ;8.01 ;6225.1 ;5.16 ;1.16 ;92.96 ;57.9 ;25.87 ;51.69 ;61.84 ;23.43 ;54.56 ;65.864 ;4.19 ;11.4 ;27.86 ;1.62 ;0.77 ;5.59 ;17.54 ;12.06
go3p21                                   ;0.0466 ;0.040138 ;0.0011875 ;5.69 ;4791.4 ;3.38 ;1.15 ;77.14 ;51.79 ;22.71 ;44.13 ;60.21 ;21.26 ;54.07 ;9.57 ;2.26 ;9.1 ;28.58 ;1.37 ;0.67 ;3.46 ;24.18 ;10.13
go3p23                                   ;0.0549 ;0.04355 ;0.0013 ;4.08 ;3139.2 ;2.65 ;1.32 ;46.58 ;49.44 ;27.82 ;40.01 ;56.44 ;20.02 ;49.24 ;6.037 ;1.8 ;7.2 ;32.34 ;0.95 ;0.4 ;2.52 ;28.19 ;6.88
go3p24                                   ;0.0413 ;0.037713 ;0.001125 ;6.24 ;5545.9 ;3.51 ;1.16 ;95.04 ;54.25 ;27.71 ;44.78 ;58.66 ;23.04 ;54.13 ;25.125 ;3.22 ;10.7 ;30.39 ;1.52 ;0.75 ;4.36 ;15.59 ;6.55
go3p25                                   ;0.0469 ;0.04025 ;0.0012 ;5.75 ;4790.6 ;3.45 ;1.3 ;76.92 ;55.35 ;23.89 ;47.06 ;59.34 ;23.11 ;49.62 ;48.691 ;3.89 ;10.6 ;29.05 ;1.52 ;0.7 ;5.15 ;24.88 ;11.59
mo3p01                                   ;0.0852 ;0.052413 ;0.0015625 ;4.68 ;2994.8 ;3.66 ;1.41 ;36.93 ;68.1 ;8.79 ;33.43 ;76.86 ;-0.97 ;37.41 ;3430 ;8.14 ;13.6 ;16.95 ;1.65 ;0.74 ;6.89 ;14.95 ;7.22
mo3p02                                   ;0.0715 ;0.049438 ;0.001475 ;5.89 ;3990.5 ;4.34 ;1.49 ;52.17 ;76.79 ;2.27 ;42.48 ;79.26 ;-3.1 ;40.91 ;2666.6 ;7.89 ;12.1 ;16.75 ;1.63 ;0.73 ;5.85 ;14.4 ;6.88
mo3p03                                   ;0.0869 ;0.051562 ;0.0015375 ;6.1 ;3968.7 ;4.69 ;1.55 ;49.74 ;73.19 ;4.59 ;36.64 ;79.03 ;-0.58 ;40.77 ;3463.1 ;8.15 ;13.8 ;15.81 ;1.71 ;0.73 ;7.11 ;14.44 ;7.05
mo3p04                                   ;0.0608 ;0.043588 ;0.0013 ;5.75 ;4422.1 ;3.74 ;1.32 ;65.56 ;74.39 ;8.04 ;46.69 ;79.79 ;-1.46 ;36.19 ;3443.6 ;8.14 ;14.7 ;17.57 ;1.81 ;0.86 ;7.46 ;15.1 ;6.76
mo3p05                                   ;0.0902 ;0.052 ;0.00155 ;7.18 ;4632.9 ;5.57 ;1.35 ;57.58 ;72.82 ;7.84 ;46.33 ;80.91 ;-2.11 ;35.02 ;1923.2 ;7.56 ;13.9 ;18.14 ;1.79 ;0.79 ;6.93 ;15.36 ;7.41
mo3p06                                   ;0.0737 ;0.0493 ;0.0014625 ;6.99 ;4782.6 ;5.11 ;1.39 ;62.69 ;70.31 ;2.94 ;39.11 ;79.27 ;-2.85 ;42.27 ;1658 ;7.41 ;13.5 ;19.51 ;1.8 ;0.85 ;6.78 ;16.85 ;7.45
mo3p07                                   ;0.0603 ;0.0458 ;0.0013625 ;14.29 ;10490 ;9.74 ;0.9 ;148.02 ;64.71 ;14.23 ;36.1 ;75.21 ;-2.32 ;45.15 ;48.103 ;3.87 ;12.1 ;21.09 ;1.73 ;0.75 ;4.67 ;18.34 ;7.94
mo3p08                                   ;0.0732 ;0.049275 ;0.0014625 ;7.96 ;5439.9 ;5.82 ;1.29 ;71.34 ;58.4 ;27.73 ;32.01 ;78.21 ;-3.23 ;35.88 ;1057.2 ;6.96 ;14 ;16.66 ;1.94 ;0.82 ;6.71 ;15.63 ;6.83
mo3p09                                   ;0.0831 ;0.051075 ;0.001525 ;5.1 ;3345.1 ;3.89 ;1.71 ;42.33 ;67.99 ;11.62 ;41.07 ;74.09 ;1.09 ;41.4 ;4965.5 ;8.51 ;13.9 ;16.4 ;1.6 ;0.7 ;7.14 ;15.49 ;7.18
mo3p10                                   ;0.0802 ;0.050787 ;0.0015125 ;6.58 ;4352.1 ;4.98 ;1.7 ;55.38 ;70.1 ;7.82 ;41.46 ;72.11 ;-1.24 ;30.01 ;4120.6 ;8.32 ;13.6 ;16.03 ;1.61 ;0.66 ;6.61 ;14.81 ;6.92
mo3p11                                   ;0.0754 ;0.048238 ;0.0014375 ;9.49 ;6599.1 ;6.82 ;1.14 ;88.41 ;53.56 ;34.21 ;15.08 ;77.78 ;-1.97 ;37.86 ;1383.3 ;7.23 ;13.7 ;18.09 ;1.89 ;0.81 ;6.35 ;15.89 ;7.48
mo3p12                                   ;0.0725 ;0.049975 ;0.0014875 ;5.64 ;3792.1 ;4.2 ;1.63 ;49.04 ;71.41 ;11.54 ;44.22 ;79.28 ;-0.62 ;34.86 ;3588 ;8.19 ;13.8 ;17.31 ;1.84 ;0.76 ;6.96 ;15.91 ;6.9
mo3p13                                   ;0.0648 ;0.047988 ;0.001425 ;7.04 ;4942.9 ;5.02 ;1.48 ;66.56 ;73.11 ;4.92 ;43.65 ;80.65 ;-1.22 ;42.74 ;2671.6 ;7.89 ;13.9 ;18.39 ;1.83 ;0.79 ;6.85 ;16.43 ;6.63
mo3p14                                   ;0.0709 ;0.048337 ;0.0014375 ;6.04 ;4203.8 ;4.34 ;1.55 ;56.2 ;70.46 ;16.42 ;39.26 ;80.58 ;-2.12 ;38.88 ;2641.5 ;7.88 ;13.7 ;15.42 ;1.81 ;0.77 ;6.74 ;14.12 ;6.67
mo3p15                                   ;0.0557 ;0.044388 ;0.001325 ;9.18 ;6929.9 ;6.08 ;1.3 ;100.9 ;74.54 ;2.47 ;44.95 ;80.24 ;-3.39 ;36.34 ;1058.1 ;6.96 ;13.7 ;21.84 ;1.86 ;0.91 ;6.29 ;19.09 ;8.06
mo3p16                                   ;0.0667 ;0.046825 ;0.0013875 ;5.94 ;4277.5 ;4.12 ;1.44 ;59.03 ;73.24 ;7.25 ;38.97 ;78.8 ;-1.04 ;38.76 ;4089 ;8.32 ;14.5 ;19.51 ;1.91 ;0.86 ;7.35 ;16.76 ;6.73
mo3p17                                   ;0.0729 ;0.048825 ;0.00145 ;6.05 ;4174.3 ;4.39 ;1.64 ;55.25 ;71.8 ;11.63 ;39 ;73.33 ;0.3 ;37.95 ;2846.8 ;7.95 ;13.1 ;19.11 ;1.76 ;0.82 ;5.89 ;16.28 ;6.52
mo3p18                                   ;0.0791 ;0.04975 ;0.001475 ;5.91 ;4003.8 ;4.36 ;1.48 ;52.01 ;59.77 ;28.66 ;26.73 ;76 ;-0.56 ;37.94 ;3962.1 ;8.28 ;14.3 ;15.47 ;1.84 ;0.82 ;6.67 ;13.23 ;7.14
mo3p19                                   ;0.0774 ;0.049625 ;0.001475 ;4.52 ;3066 ;3.34 ;1.59 ;39.93 ;68.16 ;15.14 ;34.06 ;72.2 ;-0.65 ;33.78 ;4547.5 ;8.42 ;14.1 ;16.18 ;1.58 ;0.66 ;7.11 ;14.62 ;6.47
mo3p20                                   ;0.0674 ;0.047575 ;0.0014125 ;5.74 ;4062.9 ;4.05 ;1.58 ;55.19 ;64.76 ;12.02 ;34.22 ;77.24 ;-1.13 ;32.14 ;4824.9 ;8.48 ;13.7 ;17.01 ;1.65 ;0.72 ;6.47 ;15.97 ;6.63
mo3p21                                   ;0.0726 ;0.047313 ;0.0014125 ;3.88 ;2750.3 ;2.74 ;1.66 ;37.57 ;72.44 ;8.45 ;33.48 ;69.51 ;2.12 ;33.59 ;4970.7 ;8.51 ;15.4 ;15.69 ;1.68 ;0.72 ;7.65 ;14.36 ;6.64
mo3p22                                   ;0.0734 ;0.05 ;0.0014875 ;8.42 ;5658.5 ;6.26 ;1.3 ;73.13 ;67.4 ;6.66 ;40.92 ;78.16 ;0.01 ;44.59 ;3881.2 ;8.26 ;12.5 ;18.92 ;1.55 ;0.66 ;5.71 ;16.85 ;6.62
mo3p23                                   ;0.0686 ;0.046863 ;0.0013875 ;5.42 ;3902.8 ;3.76 ;1.63 ;53.82 ;70.22 ;12.69 ;44.55 ;76.89 ;-0.49 ;41.78 ;1420.2 ;7.26 ;12.3 ;15.75 ;1.5 ;0.72 ;6.17 ;14.05 ;6.11
mo3p24                                   ;0.0756 ;0.049375 ;0.0014625 ;6.45 ;4406.9 ;4.71 ;1.54 ;57.68 ;72.64 ;6 ;45.35 ;76.74 ;-4.41 ;40.06 ;4143.3 ;8.33 ;13.3 ;19.17 ;1.71 ;0.82 ;5.79 ;15.55 ;7.24
mo3p25                                   ;0.076 ;0.049737 ;0.001475 ;10.37 ;7029.9 ;7.65 ;1.11 ;91.33 ;72.85 ;8.68 ;44.34 ;79.29 ;-2.45 ;40.35 ;927.93 ;6.83 ;13.9 ;20.75 ;1.84 ;0.9 ;5.96 ;16.34 ;7.28
mo3p26                                   ;0.0724 ;0.049463 ;0.001475 ;3.87 ;2627.1 ;2.86 ;1.49 ;34.32 ;70.97 ;7.13 ;35.71 ;77.16 ;-0.37 ;35.87 ;4591.2 ;8.43 ;12.2 ;15.37 ;1.45 ;0.69 ;6.89 ;13.02 ;7.02
mo3p27                                   ;0.0671 ;0.047325 ;0.0014125 ;6.64 ;4701.9 ;4.69 ;1.48 ;64.21 ;68.56 ;13.05 ;35.87 ;79.94 ;-1.01 ;37.28 ;3527.2 ;8.17 ;14.3 ;18.9 ;1.73 ;0.78 ;6.65 ;15.63 ;6.57
mo3p28                                   ;0.0695 ;0.04875 ;0.00145 ;4.99 ;3443.7 ;3.62 ;1.67 ;45.65 ;68.21 ;13.53 ;37.67 ;75.95 ;0.58 ;35.36 ;3998.4 ;8.29 ;14 ;16.76 ;1.63 ;0.85 ;6.7 ;14.38 ;6.57
mo3p29                                   ;0.0727 ;0.049725 ;0.001475 ;3.99 ;2706.9 ;2.94 ;1.61 ;35.18 ;69.41 ;16.61 ;34.45 ;76.09 ;3.08 ;40.1 ;6120.3 ;8.72 ;14.6 ;13.61 ;1.73 ;0.9 ;7.22 ;10.95 ;6.1
mo3p30                                   ;0.0777 ;0.049838 ;0.0014875 ;4.65 ;3126 ;3.46 ;1.58 ;40.54 ;72.81 ;10.05 ;38.73 ;72.92 ;0 ;33.23 ;4844.3 ;8.49 ;14.1 ;16.58 ;1.66 ;0.79 ;6.54 ;13.54 ;6.18
mo3p31                                   ;0.0814 ;0.05205 ;0.00155 ;4.78 ;3082.2 ;3.7 ;1.71 ;38.27 ;64.5 ;20.54 ;31.98 ;71.28 ;-3.66 ;27.17 ;3057.7 ;8.03 ;13.4 ;17.26 ;1.68 ;0.78 ;5.28 ;14.46 ;6.69
mo3p32                                   ;0.0687 ;0.047125 ;0.0014 ;7.71 ;5507.6 ;5.4 ;1.3 ;75.53 ;68.57 ;15.21 ;35.52 ;78.11 ;-0.61 ;40.78 ;1244.3 ;7.13 ;13.3 ;17.11 ;1.92 ;0.93 ;5.6 ;14.28 ;6.75
mo3p33                                   ;0.069 ;0.047 ;0.0014 ;4.38 ;3125.2 ;3.06 ;1.46 ;42.97 ;68.97 ;6.09 ;40.7 ;77.91 ;-0.37 ;40.36 ;5293.7 ;8.57 ;14.7 ;17.04 ;1.55 ;0.81 ;6.51 ;12.33 ;6.04
mo3p34                                   ;0.0649 ;0.04745 ;0.0014125 ;7.03 ;4979.7 ;4.97 ;1.48 ;67.82 ;75.69 ;1.3 ;37.38 ;79.57 ;-2.23 ;33.18 ;3271.8 ;8.09 ;14 ;17.16 ;1.56 ;0.87 ;6.2 ;13.13 ;6.05
mo3p35                                   ;0.0603 ;0.045988 ;0.0013625 ;6.49 ;4766.4 ;4.42 ;1.39 ;66.97 ;70.32 ;5.84 ;41.39 ;76.96 ;-3.27 ;36.47 ;1818.5 ;7.51 ;12.8 ;19.15 ;1.36 ;0.76 ;5.36 ;15.44 ;6.32
mo3p36                                   ;0.0697 ;0.0484 ;0.0014375 ;5.25 ;3651 ;3.77 ;1.29 ;48.75 ;72.66 ;11.77 ;41.28 ;77.49 ;-3.35 ;33.29 ;2656.9 ;7.88 ;13.7 ;16.24 ;1.49 ;0.77 ;6.05 ;11.82 ;5.94
mo3p38                                   ;0.0777 ;0.050575 ;0.0015 ;5.34 ;3557.8 ;4 ;1.56 ;45.46 ;66.41 ;17.33 ;32.08 ;76.65 ;-1.42 ;31.43 ;4152.2 ;8.33 ;14.2 ;16.78 ;1.51 ;0.78 ;5.92 ;11.72 ;5.82
mo3p39                                   ;0.0695 ;0.046913 ;0.0014 ;7.25 ;5178.3 ;5.07 ;1.25 ;71.34 ;72.6 ;7.05 ;40.24 ;81.42 ;-3.82 ;34.05 ;1771.6 ;7.48 ;13.6 ;18.95 ;1.6 ;0.76 ;5.64 ;13.5 ;6.16
mo3p40                                   ;0.0922 ;0.052125 ;0.00155 ;7.32 ;4721.5 ;5.67 ;1.34 ;58.54 ;72.54 ;6.18 ;38.91 ;80.33 ;-1.77 ;37.63 ;2383 ;7.78 ;13.9 ;18.67 ;1.57 ;0.74 ;5.8 ;15.23 ;6.46
373p01                                   ;0.0685 ;0.04255 ;0.0012625 ;7.9 ;6255.1 ;4.99 ;1.2 ;95 ;36.19 ;33.83 ;16.7 ;50.04 ;33.88 ;31.22 ;582.63 ;6.37 ;12.5 ;26.98 ;2.15 ;1.05 ;3.49 ;21.86 ;4.47
373p02                                   ;0.0634 ;0.043312 ;0.0012875 ;8.15 ;6331.7 ;5.25 ;1.27 ;94.47 ;39.45 ;38.2 ;18.13 ;59.92 ;21.27 ;40.88 ;237.18 ;5.47 ;13.1 ;24.49 ;2.32 ;1.05 ;3.91 ;19.11 ;4.77
373p03                                   ;0.0735 ;0.045637 ;0.0013625 ;9.07 ;6660 ;6.18 ;1.23 ;94.31 ;38.62 ;36.48 ;22.34 ;54.8 ;27.17 ;36.69 ;279.69 ;5.63 ;12.9 ;27.76 ;2.6 ;1.4 ;3.73 ;25.43 ;5.98
373p04                                   ;0.0603 ;0.042925 ;0.001275 ;7.98 ;6255.3 ;5.08 ;0.84 ;94.17 ;34.98 ;39.47 ;18.31 ;56.28 ;23.81 ;37.33 ;105.36 ;4.66 ;12.3 ;24.71 ;2.71 ;1.37 ;2.51 ;23.73 ;5.5
373p05                                   ;0.0474 ;0.0391 ;0.0011625 ;6.62 ;5696.1 ;3.85 ;1.21 ;94.14 ;38.81 ;36.01 ;18.18 ;45.52 ;34.98 ;23.65 ;162.48 ;5.09 ;12.2 ;22.57 ;2.83 ;1.33 ;3.04 ;20.74 ;4.93
373p06                                   ;0.0592 ;0.041963 ;0.00125 ;7.63 ;6105.7 ;4.77 ;1.22 ;94.03 ;33.62 ;27.26 ;9.33 ;61.74 ;8.88 ;43.5 ;249.63 ;5.52 ;12.7 ;28.11 ;2.25 ;1.18 ;3.12 ;24.22 ;4.63
373p07                                   ;0.0593 ;0.040925 ;0.0012125 ;7.22 ;5954.8 ;4.38 ;1.22 ;94.02 ;37.3 ;40.12 ;19.13 ;44.69 ;37.49 ;27.77 ;160.18 ;5.08 ;14.3 ;24.88 ;2.94 ;1.42 ;4.51 ;22.96 ;5.65
373p08                                   ;0.0623 ;0.044338 ;0.0013125 ;8.46 ;6442.8 ;5.55 ;1.04 ;93.9 ;65.41 ;10.18 ;42.27 ;40.75 ;32.5 ;20.48 ;85.876 ;4.45 ;11.8 ;21.45 ;2.29 ;1.22 ;3.16 ;19.45 ;4.76
373p09                                   ;0.0659 ;0.044362 ;0.0013125 ;8.4 ;6398 ;5.51 ;0.96 ;93.19 ;40.83 ;32.14 ;14.64 ;57.86 ;15.66 ;38.85 ;73.353 ;4.3 ;12.1 ;22.57 ;2.39 ;1.3 ;3.01 ;20.26 ;5.21
373p10                                   ;0.0628 ;0.04335 ;0.0012875 ;8.04 ;6247.9 ;5.18 ;1.27 ;93.14 ;33.99 ;30.8 ;13.04 ;59.27 ;19.65 ;40.34 ;168.65 ;5.13 ;12.9 ;25.54 ;2.39 ;1.12 ;3.65 ;24.14 ;5.36
373p11                                   ;0.063 ;0.043225 ;0.0012875 ;8.01 ;6225.1 ;5.16 ;1.16 ;93.07 ;39.21 ;29.87 ;16.21 ;68.91 ;2.23 ;47.88 ;280.4 ;5.64 ;11.6 ;25.2 ;2.23 ;1.15 ;2.83 ;23.07 ;4.63
373p12                                   ;0.0646 ;0.042463 ;0.0012625 ;7.71 ;6107.4 ;4.87 ;1.15 ;92.95 ;41.97 ;34.64 ;20.86 ;64.12 ;10.89 ;42.8 ;432.45 ;6.07 ;11.2 ;27.5 ;2.1 ;1.08 ;2.91 ;27.34 ;5.22
373p13                                   ;0.0557 ;0.040225 ;0.0012 ;6.92 ;5763.4 ;4.15 ;1.27 ;92.6 ;36.69 ;33.4 ;12.84 ;57.81 ;16.87 ;37.47 ;269.79 ;5.6 ;12.3 ;26.69 ;2.37 ;1.17 ;2.98 ;26.09 ;4.91
373p14                                   ;0.0682 ;0.044013 ;0.0013125 ;8.25 ;6285.9 ;5.41 ;0.99 ;92.3 ;35.03 ;31.47 ;12.31 ;69.45 ;7.13 ;46.94 ;181.34 ;5.2 ;13.3 ;27.14 ;2.44 ;1.32 ;2.54 ;22.21 ;4.62
373p15                                   ;0.0665 ;0.044562 ;0.001325 ;8.43 ;6359.8 ;5.58 ;1.32 ;92.23 ;39.78 ;34.13 ;18.6 ;63.28 ;21.29 ;43.13 ;407.06 ;6.01 ;13.1 ;26.86 ;2.12 ;1.15 ;3.87 ;23.4 ;4.92
373p19                                   ;0.0662 ;0.043663 ;0.0013 ;8.02 ;6172.8 ;5.22 ;1.23 ;91.36 ;36.3 ;31.03 ;12.58 ;62.16 ;16.23 ;38.11 ;507.53 ;6.23 ;11.8 ;29.14 ;2.5 ;1.32 ;3.31 ;27.3 ;6.26
373p20                                   ;0.0653 ;0.044762 ;0.001325 ;8.37 ;6315.4 ;5.54 ;1.23 ;91.17 ;38.05 ;40.15 ;21.13 ;69.69 ;8.4 ;47.49 ;161.06 ;5.08 ;13.6 ;27.97 ;2.8 ;1.43 ;3.61 ;28.52 ;3.28
373p21                                   ;0.0587 ;0.041625 ;0.0012375 ;7.26 ;5866.2 ;4.49 ;1.2 ;91.07 ;32.85 ;30 ;11.85 ;44.92 ;35.5 ;25.79 ;174.11 ;5.16 ;11.7 ;26.62 ;2.12 ;1.1 ;3.57 ;25.35 ;5.66
373p22                                   ;0.0657 ;0.043763 ;0.0013 ;7.9 ;6074.6 ;5.13 ;1.17 ;89.7 ;40.61 ;36.43 ;19.73 ;69.01 ;10.51 ;47.16 ;315.81 ;5.76 ;13.9 ;34.97 ;3 ;1.4 ;2.63 ;35.16 ;5.82
373p23                                   ;0.061 ;0.0415 ;0.0012375 ;7.1 ;5739.4 ;4.39 ;1.17 ;89.38 ;35.49 ;33.12 ;15.07 ;59.51 ;14.45 ;38.13 ;31.89 ;3.46 ;13.1 ;24.68 ;2.61 ;1.25 ;3.21 ;23.51 ;5.39
373p24                                   ;0.069 ;0.0448 ;0.0013375 ;8.25 ;6168.4 ;5.52 ;1.17 ;88.98 ;39.8 ;37.11 ;18.65 ;59.15 ;22.45 ;39 ;286.69 ;5.66 ;13.9 ;24.38 ;2.8 ;1.55 ;2.82 ;32.37 ;6.26
373p25                                   ;0.0573 ;0.040087 ;0.0011875 ;6.55 ;5518.4 ;3.89 ;1.18 ;88.95 ;34.39 ;24.65 ;9.79 ;54.46 ;21.71 ;37.5 ;43.806 ;3.78 ;12.3 ;28.78 ;2.34 ;1.17 ;3.14 ;26.09 ;5.5
373p26                                   ;0.0731 ;0.046438 ;0.001375 ;8.75 ;6364 ;6.02 ;1.08 ;88.56 ;40.48 ;35.63 ;20.53 ;57.1 ;22.17 ;34.76 ;232.23 ;5.45 ;12.2 ;21.25 ;2.88 ;1.55 ;2.95 ;20.72 ;4.63
373p27                                   ;0.0518 ;0.039825 ;0.0011875 ;6.41 ;5394.5 ;3.8 ;1.1 ;87.54 ;36.81 ;31.62 ;14.91 ;61.6 ;17.61 ;39.61 ;275.58 ;5.62 ;13.6 ;22.34 ;2.97 ;1.25 ;2.67 ;22.62 ;4.77
373p28                                   ;0.0555 ;0.040425 ;0.0012 ;6.52 ;5436.4 ;3.91 ;1.3 ;86.9 ;37.31 ;36.97 ;16.45 ;59.72 ;25.25 ;41.92 ;121.59 ;4.8 ;14.6 ;29.66 ;3.03 ;1.35 ;3.79 ;26.63 ;5.54
